,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Angoram,-4.06,144.07,25.79,86,95,1.82,PG,1600850612
85,Tautira,-17.73,-149.15,27.0,61,20,3.6,PF,1600850612
86,Barrow,71.29,-156.79,0.0,93,90,3.6,US,1600850612
87,Iqaluit,63.75,-68.51,1.0,86,90,9.3,CA,1600850613
88,New Norfolk,-42.78,147.06,9.44,73,17,0.89,AU,1600850613
89,Beyneu,45.32,55.2,21.67,21,1,3.61,KZ,1600850613
90,Albany,42.6,-73.97,12.22,97,8,3.7,US,1600850605
91,Murakami,38.23,139.48,26.0,57,75,4.6,JP,1600850613
92,Kysyl-Syr,63.9,122.76,10.29,61,11,1.44,RU,1600850613
93,Port Blair,11.67,92.75,29.58,73,68,4.99,IN,1600850613
94,Mulchén,-37.72,-72.23,5.65,82,96,2.15,CL,1600850614
95,Tongliao,43.61,122.27,19.11,52,55,3.81,CN,1600850614
96,Margate,51.38,1.39,17.78,87,100,1.34,GB,1600850614
97,Ayorou,14.73,0.92,31.81,44,44,3.94,NE,1600850614
98,Sisimiut,66.94,-53.67,-1.26,90,0,4.3,GL,1600850614
99,Saint-Philippe,-21.36,55.77,25.0,57,20,7.7,RE,1600850614
100,Deep River,46.1,-77.5,11.67,100,1,2.84,CA,1600850528
101,Lata,40.16,-8.33,20.0,91,67,1.34,PT,1600850615
102,São Filipe,14.9,-24.5,26.75,78,7,1.33,CV,1600850615
103,Castro,-24.79,-50.01,11.22,89,83,4.98,BR,1600850509
104,Arraial do Cabo,-22.97,-42.03,20.03,85,99,7.83,BR,1600850564
105,Tasiilaq,65.61,-37.64,-2.0,68,100,2.6,GL,1600850615
106,Balsas,-7.53,-46.04,22.1,78,12,0.84,BR,1600850615
107,Rawson,-43.3,-65.1,9.12,52,0,4.71,AR,1600850451
108,Ban Tak,17.04,99.08,31.0,74,40,4.1,TH,1600850616
109,Sonoita,31.85,-112.83,29.44,28,0,1.24,MX,1600850616
110,Esperance,-33.87,121.9,16.0,67,0,4.6,AU,1600850616
111,Kungurtug,50.6,97.52,18.76,29,63,0.56,RU,1600850616
112,Ribeira Grande,38.52,-28.7,19.0,68,40,7.2,PT,1600850616
113,Kashan,33.98,51.44,30.86,15,0,1.28,IR,1600850616
114,Cienfuegos,22.15,-80.44,23.0,94,75,6.7,CU,1600850617
115,Shenkursk,62.11,42.9,10.7,54,97,3.37,RU,1600850617
116,Perth,-31.93,115.83,26.0,26,0,0.5,AU,1600850555
117,Kot Kapūra,30.58,74.9,40.26,20,7,3.03,IN,1600850617
118,Belūsovka,50.13,82.52,16.0,31,75,8.0,KZ,1600850617
119,Dikson,73.51,80.55,5.49,86,100,7.69,RU,1600850617
120,Vozuća,44.36,18.36,21.0,83,75,0.5,BA,1600850617
121,Mechetinskaya,46.77,40.46,25.71,23,0,4.75,RU,1600850618
122,Obihiro,42.92,143.2,14.0,82,75,2.1,JP,1600850618
123,Isangel,-19.55,169.27,21.61,78,2,5.09,VU,1600850618
124,San Juan,-31.54,-68.54,11.57,41,2,1.36,AR,1600850618
125,Norman Wells,65.28,-126.83,0.0,78,20,1.1,CA,1600850618
126,Quatre Cocos,-20.21,57.76,25.56,61,40,5.1,MU,1600850618
127,Gamba,-2.65,10.0,26.25,73,96,3.01,GA,1600850619
128,Talcahuano,-36.72,-73.12,9.0,76,78,3.1,CL,1600850619
129,Vrangel',42.73,133.08,15.5,83,8,5.15,RU,1600850619
130,Flekkefjord,58.3,6.66,14.44,89,100,1.34,NO,1600850619
131,Riyadh,24.69,46.72,38.0,10,0,5.7,SA,1600850477
132,Kurya,51.6,82.29,13.41,41,98,10.52,RU,1600850619
133,Nelson Bay,-32.72,152.15,20.0,32,7,7.7,AU,1600850619
134,Zhigansk,66.77,123.37,7.62,65,13,0.39,RU,1600850620
135,Atuona,-9.8,-139.03,25.54,74,40,8.59,PF,1600850620
136,Lethem,3.38,-59.8,24.77,84,100,2.74,GY,1600850620
137,Pahrump,36.21,-115.98,23.33,31,0,1.62,US,1600850620
138,Mossamedes,-15.2,12.15,23.21,64,2,3.79,AO,1600850620
139,Cherskiy,68.75,161.3,4.8,93,94,3.91,RU,1600850621
140,Cidreira,-30.18,-50.21,14.5,78,37,7.43,BR,1600850621
141,Faya,18.39,42.45,27.0,11,37,10.3,SA,1600850621
142,Mahébourg,-20.41,57.7,25.0,61,40,5.1,MU,1600850621
143,Ovruch,51.32,28.8,20.49,36,0,3.79,UA,1600850621
144,Walvis Bay,-22.96,14.51,13.0,87,90,1.0,NA,1600850621
145,Mozirje,46.34,14.96,18.89,81,82,1.95,SI,1600850622
146,Hamilton,39.18,-84.53,13.33,93,20,1.13,US,1600849924
147,Sechura,-5.56,-80.82,16.36,89,72,3.67,PE,1600850622
148,Vieste,41.88,16.18,28.33,69,20,2.6,IT,1600850622
149,Mugur-Aksy,50.35,90.5,8.88,53,100,3.97,RU,1600850622
150,Koungheul,13.98,-14.8,27.11,87,19,4.12,SN,1600850622
151,São José da Coroa Grande,-8.9,-35.15,23.95,80,68,4.76,BR,1600850622
152,Akropong,5.97,-0.09,25.0,88,90,5.1,GH,1600850623
153,Bela Vista,-22.11,-56.52,17.62,90,0,1.58,BR,1600850582
154,Kashgar,39.45,75.98,25.0,20,75,3.0,CN,1600850623
155,Pedernales,18.04,-71.74,27.17,70,98,1.39,DO,1600850623
156,Rio Grande,-32.03,-52.1,12.96,88,22,4.8,BR,1600850623
157,Lokosovo,61.13,74.82,6.97,72,95,5.94,RU,1600850623
158,Tilichiki,60.47,166.1,2.04,84,47,1.13,RU,1600850624
159,Zhuhai,22.28,113.57,31.0,79,40,4.6,CN,1600850578
160,Iranshahr,27.2,60.68,37.0,11,0,8.2,IR,1600850624
161,Baruun-Urt,46.68,113.28,11.96,53,22,4.2,MN,1600850624
162,Vestmannaeyjar,63.44,-20.27,4.0,80,75,4.1,IS,1600850624
163,La Ronge,55.1,-105.28,2.0,100,5,1.0,CA,1600850624
164,Sungai Penuh,-2.08,101.38,22.98,87,56,1.49,ID,1600850624
165,Corvallis,44.56,-123.26,15.0,82,20,2.07,US,1600850625
166,Nānākuli,21.39,-158.15,26.67,65,1,1.5,US,1600850625
167,Morant Bay,17.88,-76.41,27.0,83,20,1.5,JM,1600850625
168,Lavrentiya,65.58,-171.0,3.66,87,100,1.95,RU,1600850625
169,Calabozo,8.92,-67.43,23.67,93,100,1.49,VE,1600850625
170,Kloulklubed,7.04,134.26,30.0,70,75,2.1,PW,1600850625
171,Cabo San Lucas,22.89,-109.91,27.22,82,3,5.18,MX,1600850364
172,Siuna,13.73,-84.78,21.93,95,23,1.25,NI,1600850626
173,Pangnirtung,66.15,-65.71,-0.03,82,100,3.64,CA,1600850626
174,Am Timan,11.03,20.28,29.03,66,100,1.95,TD,1600850626
175,Tete,-16.16,33.59,26.0,54,75,6.7,MZ,1600850626
176,Posadas,-27.37,-55.9,13.98,88,0,2.32,AR,1600850626
177,Ōmachi,36.5,137.87,23.33,66,78,1.34,JP,1600850626
178,Sangar,63.92,127.47,8.76,64,43,1.26,RU,1600850627
179,Jieshi,22.81,115.83,30.56,77,79,0.89,CN,1600850627
180,Goundi,9.36,17.37,22.8,95,100,3.39,TD,1600850627
181,Aksarka,66.56,67.8,4.77,81,100,3.91,RU,1600850627
182,Port Hedland,-20.32,118.57,32.0,25,0,6.2,AU,1600850627
183,Bengkulu,-3.8,102.27,29.06,78,12,5.11,ID,1600850627
184,Thompson,55.74,-97.86,2.0,94,5,1.5,CA,1600850628
185,Yabēlo,4.88,38.08,16.33,79,100,5.53,ET,1600850628
186,Dauphin,51.15,-100.05,8.0,93,40,1.0,CA,1600850628
187,Bambous Virieux,-20.34,57.76,25.56,61,40,5.1,MU,1600850628
188,East London,-33.02,27.91,22.0,49,1,3.6,ZA,1600850628
189,Coquimbo,-29.95,-71.34,10.0,100,90,4.6,CL,1600850524
190,San Fernando del Valle de Catamarca,-28.47,-65.79,8.33,48,0,1.79,AR,1600850629
191,Erzin,36.96,36.2,28.33,77,28,1.79,TR,1600850629
192,Cuajinicuilapa,16.47,-98.42,24.06,88,30,1.56,MX,1600850629
193,Avera,33.19,-82.53,14.0,71,1,0.5,US,1600850629
194,Zelenoborskiy,66.84,32.36,8.62,56,89,3.24,RU,1600850629
195,Shizuishan,39.23,106.77,21.58,21,0,3.47,CN,1600850630
196,Gunjur,13.2,-16.73,27.0,94,40,4.2,GM,1600850630
197,Mar del Plata,-38.0,-57.56,9.44,100,2,4.1,AR,1600850630
198,Airdrie,55.87,-3.98,9.44,87,35,1.28,GB,1600850630
199,Astoria,46.19,-123.83,16.11,87,90,1.5,US,1600850402
200,Imeni Poliny Osipenko,52.42,136.49,10.72,69,0,1.19,RU,1600850630
201,Waipawa,-41.41,175.52,15.0,93,40,8.7,NZ,1600850631
202,Karachi,24.91,67.08,36.0,53,90,4.6,PK,1600850503
203,Igrim,63.19,64.42,5.75,92,100,1.55,RU,1600850631
204,Rock Sound,24.9,-76.2,26.93,69,56,7.06,BS,1600850631
205,Hobart,-42.88,147.33,10.0,71,40,7.7,AU,1600850631
206,Morehead,37.27,-87.18,13.89,64,1,1.38,US,1600850631
207,Srednekolymsk,67.45,153.68,5.28,84,98,2.38,RU,1600850632
208,Tuatapere,-46.13,167.68,12.22,78,67,0.45,NZ,1600850632
209,Cairo,30.06,31.25,28.0,58,40,3.1,EG,1600850406
210,Novoil'insk,51.68,108.71,13.32,39,0,1.09,RU,1600850632
211,Aasiaat,68.71,-52.87,-6.32,94,76,3.87,GL,1600850632
212,Port Moresby,-9.44,147.18,27.0,88,40,5.1,PG,1600850372
213,Darnah,32.77,22.64,26.32,58,0,4.01,LY,1600850632
214,Constitución,-35.33,-72.42,10.62,72,20,2.35,CL,1600850633
215,Ostrovnoy,68.05,39.51,7.92,69,89,5.59,RU,1600850633
216,Bima,-8.47,118.72,31.9,41,7,3.7,ID,1600850633
217,Wahiawā,21.5,-158.02,26.67,88,75,2.54,US,1600850633
218,San Angelo,31.46,-100.44,19.44,88,40,1.56,US,1600850353
219,Zasheyek,67.41,32.55,6.83,61,93,2.9,RU,1600850633
220,Oranjemund,-28.55,16.43,25.74,17,0,3.02,NA,1600850633
221,Xaxim,-26.96,-52.53,9.27,99,0,1.47,BR,1600850634
222,Kurkino,53.43,38.66,19.26,55,35,2.73,RU,1600850634
223,Nikolskoye,59.7,30.79,14.44,82,1,2.0,RU,1600850634
224,Sabang,5.89,95.32,28.71,72,32,3.87,ID,1600850634
225,Boa Vista,2.82,-60.67,27.0,78,100,2.1,BR,1600850634
226,Kirensk,57.79,108.11,13.28,56,0,0.95,RU,1600850634
227,Khovd,48.01,91.64,21.1,23,79,8.29,MN,1600850635
228,Severo-Kuril'sk,50.68,156.12,8.91,79,19,2.89,RU,1600850635
229,Hasaki,35.73,140.83,22.0,94,75,4.6,JP,1600850635
230,Vinça,42.65,2.53,20.0,82,12,2.1,FR,1600850635
231,Adrar,20.5,-10.07,35.45,14,0,1.27,MR,1600850267
232,Puerto Ayacucho,5.66,-67.62,23.53,92,98,1.25,VE,1600850635
233,Hermiston,45.84,-119.29,17.22,55,1,3.1,US,1600850359
234,Chokurdakh,70.63,147.92,5.37,81,21,3.49,RU,1600850636
235,Okhotsk,59.38,143.3,9.68,82,80,2.33,RU,1600850636
236,Biak,-0.91,122.88,27.2,75,94,2.76,ID,1600850636
237,Tegul'det,57.31,88.17,9.46,86,100,3.59,RU,1600850636
238,Souillac,-20.52,57.52,25.0,61,40,5.1,MU,1600850636
239,Marfino,55.7,37.38,18.0,63,0,3.0,RU,1600850636
240,Ilulissat,69.22,-51.1,-4.0,68,0,1.0,GL,1600850547
241,Asău,46.43,26.4,19.44,60,0,1.86,RO,1600850637
242,Şuhut,38.53,30.55,23.44,34,0,0.33,TR,1600850637
243,Pisco,-13.7,-76.22,15.0,87,90,0.77,PE,1600850637
244,Ucluelet,48.93,-125.55,13.89,90,100,0.45,CA,1600850637
245,Oriximiná,-1.77,-55.87,24.42,72,25,1.56,BR,1600850637
246,Nyurba,63.28,118.33,13.02,61,0,2.18,RU,1600850638
247,Georgiyevka,43.04,74.71,19.0,29,99,3.0,KZ,1600850638
248,Te Anau,-45.42,167.72,7.16,89,54,2.76,NZ,1600850638
249,Henties Bay,-22.12,14.28,12.78,94,0,2.95,NA,1600850638
250,Hobyo,5.35,48.53,28.76,65,94,11.71,SO,1600850638
251,Bubaque,11.28,-15.83,27.18,78,20,3.15,GW,1600850638
252,Kismayo,-0.36,42.55,28.15,69,63,7.08,SO,1600850638
253,Muzhi,65.37,64.67,4.37,94,100,2.5,RU,1600850639
254,De-Kastri,51.47,140.78,10.35,80,0,1.6,RU,1600850639
255,San Matías,-16.37,-58.4,20.66,81,26,1.29,BO,1600850639
256,Akhmīm,26.56,31.75,32.0,38,0,7.2,EG,1600850639
257,Kota Kinabalu,5.97,116.07,27.0,88,40,2.6,MY,1600850486
258,Beloha,-25.17,45.05,24.87,39,0,5.4,MG,1600850639
259,Kuril'sk,45.23,147.88,11.13,71,1,2.68,RU,1600850640
260,Khani,41.96,42.96,27.0,47,0,3.1,GE,1600850640
261,Wasilla,61.58,-149.44,12.0,54,90,4.6,US,1600850348
262,Kendari,-3.94,122.5,27.31,83,8,1.72,ID,1600850640
263,Pauri,30.15,78.78,30.0,70,40,1.5,IN,1600850640
264,Pecos,31.42,-103.49,17.0,55,1,4.1,US,1600850641
265,Faanui,-16.48,-151.75,25.77,82,9,7.88,PF,1600850641
266,Mahanoro,-19.9,48.8,25.41,58,19,3.56,MG,1600850641
267,Hong Kong,22.29,114.16,30.56,72,83,0.89,HK,1600850641
268,Río Gallegos,-51.62,-69.22,7.0,52,99,6.7,AR,1600850509
269,Eydhafushi,5.1,73.07,27.78,76,95,5.17,MV,1600850641
270,Hyères,43.12,6.12,23.89,77,45,2.1,FR,1600850641
271,Kaitangata,-46.28,169.85,11.11,80,6,0.89,NZ,1600850642
272,Ca Mau,9.18,105.15,28.97,80,100,1.69,VN,1600850642
273,Saint-Pierre,-21.34,55.48,25.0,57,20,7.7,RE,1600850642
274,Luanda,-8.84,13.23,25.0,73,75,1.5,AO,1600850642
275,Takayama,36.13,137.25,26.0,65,75,3.6,JP,1600850642
276,Xai-Xai,-25.05,33.64,25.06,40,0,2.99,MZ,1600850642
277,Vila Velha,-20.33,-40.29,22.0,78,90,4.6,BR,1600850550
278,Calama,-22.47,-68.93,6.0,28,0,10.8,CL,1600850643
279,Havre-St-Pierre,50.23,-63.6,8.0,100,90,3.6,CA,1600850643
280,Sumbe,-11.21,13.84,24.2,73,0,3.63,AO,1600850643
281,Yoichi,43.2,140.77,20.0,68,75,3.6,JP,1600850643
282,Beringovskiy,63.05,179.32,5.52,71,7,3.54,RU,1600850643
283,Kununurra,-15.77,128.73,38.0,29,40,2.6,AU,1600850644
284,Marabu,4.41,114.01,30.0,74,40,3.6,MY,1600850644
285,Havelock,34.88,-76.9,11.67,73,1,2.2,US,1600850450
286,Airai,-8.93,125.41,21.04,71,61,1.73,TL,1600850644
287,La Massana,42.57,1.48,15.56,78,2,2.68,AD,1600850644
288,Vanimo,-2.67,141.3,27.07,78,87,2.12,PG,1600850644
289,Nanortalik,60.14,-45.24,1.82,74,0,1.81,GL,1600850644
290,Bjørnevatn,69.67,29.98,5.0,71,99,6.7,NO,1600850645
291,Maun,-19.98,23.42,24.0,50,0,6.2,BW,1600850645
292,Mouzourás,35.53,24.15,25.0,73,0,4.1,GR,1600850645
293,Orlik,52.52,99.83,15.19,35,83,1.92,RU,1600850645
294,Laredo,27.51,-99.51,22.78,88,0,1.85,US,1600850645
295,Makakilo City,21.35,-158.09,27.0,65,1,1.5,US,1600850390
296,Novikovo,51.15,37.89,21.73,37,74,1.69,RU,1600850646
297,Vanavara,60.34,102.28,12.91,61,63,3.25,RU,1600850646
298,Cacoal,-11.44,-61.45,23.46,72,100,1.2,BR,1600850477
299,Moree,-29.47,149.85,19.0,34,0,4.1,AU,1600850646
300,Bathsheba,13.22,-59.52,28.0,78,20,4.6,BB,1600850646
301,San Rafael del Sur,11.85,-86.44,24.01,88,95,2.52,NI,1600850646
302,Kozan,37.46,35.82,32.0,52,40,2.6,TR,1600850647
303,Songjianghe,42.19,127.48,13.51,82,62,1.51,CN,1600850647
304,Luena,-11.78,19.92,29.67,25,39,5.44,AO,1600850647
305,Port Keats,-14.25,129.55,29.07,73,11,3.14,AU,1600850647
306,Talnakh,69.49,88.4,8.0,61,40,10.0,RU,1600850647
307,Bridlington,54.08,-0.19,15.0,93,100,2.6,GB,1600850647
308,Jiangyou,31.77,104.72,23.07,69,88,1.93,CN,1600850647
309,Baghdad,33.34,44.4,38.0,21,0,5.7,IQ,1600850648
310,Lar,26.2,83.97,28.68,83,97,7.99,IN,1600850648
311,Boda,4.32,17.47,23.11,92,100,1.82,CF,1600850648
312,Onverwacht,5.58,-55.18,25.0,94,88,1.0,SR,1600850648
313,Aitape,-3.14,142.35,26.86,81,89,2.02,PG,1600850649
314,Nome,64.5,-165.41,3.33,74,1,2.6,US,1600850649
315,Giyani,-23.3,30.72,23.86,39,6,1.75,ZA,1600850649
316,Lagoa,39.05,-27.98,18.53,72,92,11.76,PT,1600850649
317,Marystown,47.17,-55.15,17.78,100,100,4.47,CA,1600850649
318,Lüderitz,-26.65,15.16,20.65,39,0,1.92,NA,1600850649
319,Dwārka,22.24,68.97,30.06,69,77,6.05,IN,1600850650
320,Hihyā,30.67,31.59,29.0,51,40,4.1,EG,1600850650
321,Lorengau,-2.02,147.27,28.3,74,84,3.61,PG,1600850650
322,Fortuna,40.6,-124.16,13.0,100,1,4.6,US,1600850650
323,Dingle,11.0,122.67,28.38,84,71,1.57,PH,1600850650
324,North Platte,41.12,-100.77,15.0,62,1,2.1,US,1600850650
325,Twentynine Palms,34.14,-116.05,26.0,29,1,4.1,US,1600850650
326,Solnechnyy,50.72,136.63,9.64,79,72,0.15,RU,1600850651
327,Teya,60.38,92.63,12.19,72,99,3.14,RU,1600850651
328,Meadow Lake,34.8,-106.54,22.0,26,75,4.1,US,1600850651
329,Mutoko,-17.4,32.23,23.34,34,16,4.94,ZW,1600850651
330,Tel Aviv-Yafo,32.08,34.78,30.0,55,40,3.1,IL,1600850412
331,Santiago de Cao,-7.96,-79.24,15.71,90,65,3.0,PE,1600850651
332,Klaksvík,62.23,-6.59,4.0,93,4,1.0,FO,1600850652
333,Santa Isabel Rio Negro,-0.41,-65.02,22.67,97,100,0.42,BR,1600850652
334,Kavieng,-2.57,150.8,28.39,69,99,4.6,PG,1600850652
335,Flin Flon,54.77,-101.86,4.54,88,1,0.62,CA,1600850652
336,Besenyszög,47.3,20.27,24.44,46,56,5.1,HU,1600850652
337,Baykit,61.67,96.37,7.82,83,99,1.75,RU,1600850653
338,Santa Lucía,27.91,-15.54,25.0,69,20,8.7,ES,1600850653
339,Balkanabat,39.51,54.37,28.77,17,0,4.05,TM,1600850653
340,La Rioja,42.25,-2.5,18.0,68,14,3.78,ES,1600850653
341,Lensk,60.73,114.93,14.12,56,0,2.86,RU,1600850653
342,Inyonga,-6.72,32.07,30.79,26,0,4.01,TZ,1600850653
343,A Coruña,43.37,-8.4,18.33,88,40,1.5,ES,1600850654
344,Sotnikovo,51.88,107.48,15.0,38,0,1.0,RU,1600850654
345,Northam,51.03,-4.22,13.89,98,100,3.13,GB,1600850654
346,Santa Marta,11.24,-74.2,26.65,71,95,1.99,CO,1600850654
347,Adeje,28.12,-16.73,26.11,83,20,3.1,ES,1600850654
348,Kenai,60.55,-151.26,10.0,81,90,8.2,US,1600850655
349,La Providencia,28.72,-111.58,26.67,77,0,0.89,MX,1600850655
350,Ouésso,1.61,16.05,25.44,89,71,2.07,CG,1600850655
351,Mareeba,-17.0,145.43,26.0,69,75,1.5,AU,1600850655
352,Finote Selam,10.7,37.27,23.11,58,71,1.53,ET,1600850655
353,Macao,22.2,113.55,31.0,79,40,4.6,MO,1600850503
354,Kokopo,-4.35,152.26,26.75,80,83,1.9,PG,1600850656
355,Stephenville,32.22,-98.2,19.0,93,90,2.1,US,1600850656
356,Deputatsky,69.3,139.9,3.46,79,31,3.9,RU,1600850656
357,Madingou,-4.15,13.55,27.21,61,96,1.71,CG,1600850656
358,Ponta do Sol,32.67,-17.1,24.0,83,40,8.7,PT,1600850656
359,Tatarsk,55.22,75.98,9.03,58,100,8.29,RU,1600850656
360,Mbuji-Mayi,-6.15,23.6,32.85,49,11,0.82,CD,1600850657
361,Ascension,30.22,-90.9,23.33,94,90,3.1,US,1600850657
362,Sakakah,29.97,40.21,35.0,12,0,2.6,SA,1600850657
363,Abhā,18.22,42.51,27.0,11,53,10.3,SA,1600850526
364,Cariati,39.49,16.96,26.67,69,71,8.7,IT,1600850657
365,Dayong,25.02,118.29,29.0,66,75,2.0,CN,1600850657
366,Gijang,35.24,129.21,22.0,60,75,7.2,KR,1600850658
367,College,64.86,-147.8,8.0,61,75,5.1,US,1600850658
368,San Patricio,19.22,-104.7,24.7,84,100,1.84,MX,1600850658
369,Severo-Yeniseyskiy,60.37,93.04,10.1,80,87,3.71,RU,1600850658
370,Aklavik,68.22,-135.01,2.0,100,90,3.6,CA,1600850658
371,Nuuk,64.18,-51.72,0.0,85,0,6.7,GL,1600850658
372,Husavik,66.04,-17.34,2.0,80,75,5.1,IS,1600850659
373,Moerai,-22.43,-151.33,23.77,90,64,5.35,PF,1600850659
